codice_analisi,codice_elemento,quantita,prezzo_unitario,importo
SAR24_AT.0003.0001.0002,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,BARCA APPOGGIO ATTREZZATA CON GUIDE E PALOMBARO. già funzionante in cantiere. compresi i consumi. la manutenzione. l’assicurazione e gli operatori
SAR24_AT.0003.0001.0003,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,RIMORCHIATORE. già funzionante in cantiere. compresi i consumi di carburanti e lubrificanti. i ricambi. la manutenzione. l’assicurazione. bolli e compreso l’equipaggio potenza HP 250
SAR24_AT.0003.0001.0004,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,Noleggio di motobarca di supporto rilievi ai sommozzatori. per un impegno minimo di ore 4. completa di personale e di tutte le attrezzature necessarie secondo le vigenti norme di sicurezza
SAR24_AT.0003.0001.0005,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,Apparecchiature Subacquee  Conformi alla Norma UNI 11366 Kit Attrezzatura subacquea composto da: Nr 1 - Centralina tipo Amron Ammbird per 2 Ombelicali Nr 2 - Caschetti tipo KM 17 o silmilare Nr 2 - Imbracature porta bombola R-Vest Nr 10 - Bibombole per riserva minima di aria sub - 10 Bibomb per squadra x 20 l x 200 BAR = 40 m3
SAR24_AT.0003.0001.0006,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,Nr 1 - Barella a lettiga per gommone di emergenza; Nr 1 - Cassetta Pronto Soccorso Jub tab C; Nr 1 - Bombola O2 con inalatore normobarico
SAR24_AT.0003.0001.0007,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,Motopompa 7.5 BAR con tubi 40 mt e boccalino scavafango - compresi consumi di carburante
SAR24_AT.0003.0001.0008,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,Sistema perforazione subacquea e rilevamento magnetico profondo
SAR24_AT.0003.0001.0009,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,Centralina idraulica potenza fino a 10 Hp L 30/160 Bar - completa di n 2 tubi alta pressione e idrovora per impiego di scavo subacqueo con sommozzatore - sono compresi i consumi di carburante
SAR24_AT.0003.0001.0010,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,Centralina idraulica potenza fino a 80 Hp L60/250 Bar - completa di n 2 tubi alta pressione e N 2 idrovore stanley da 30L/160 BAR e 40L/160 BAR per impiego di scavo subacqueo con sommozzatore - sono compresi i consumi di carburante
SAR24_AT.0003.0001.0011,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,Dispositivo armatura pareti di scavo in materiale amagnetico AISO 316 L diametro 300 cm altezza m 5 autoaffondante
SAR24_AT.0003.0001.0012,AT,ATTREZZATURE SPECIALI,ATTREZZATURE E MEZZI NAUTICI,Sistema perforazione subacquea e rilevamento magnetico profondo
SAR24_AT.0003.0002.0001,AT,ATTREZZATURE SPECIALI,Pontoni,PONTONE A BIGO armato con mezzo di sollevamento. già funzionante in cantiere. compresi i consumi di carburanti e lubrificanti. i ricambi. la manutenzione. le assicurazioni e l’operatore del mezzo di sollevamento con portata di sollevamento fino a tonnellate 15
SAR24_AT.0003.0002.0002,AT,ATTREZZATURE SPECIALI,Pontoni,PONTONE A BIGO armato con mezzo di sollevamento. già funzionante in cantiere. compresi i consumi di carburanti e lubrificanti. i ricambi. la manutenzione. le assicurazioni e l’operatore del mezzo di sollevamento con portata di sollevamento fino a tonnellate 45
SAR24_AT.0003.0002.0003,AT,ATTREZZATURE SPECIALI,Pontoni,PONTONE PORTAMASSI compresa la manutenzione. le assicurazioni ma escluso gli operatori
SAR24_AT.0003.0002.0004,AT,ATTREZZATURE SPECIALI,Pontoni,PONTONE SEMOVENTE armato con gru’ avente portata di 60 t. già funzionante in cantiere. compresi i consumi di carburanti e lubrificanti. i ricambi. la manutenzione. le assicurazioni. l’equipaggio e l’operatore della gru’
SAR24_AT.0003.0003.0001,AT,ATTREZZATURE SPECIALI,Piattaforme galleggianti,PIATTAFORMA GALLEGGIANTE per perforazioni subacquee. a gambe retrattili già funzionante in cantiere. corredata di attrezzatura di perforazione e di adeguato motocompressore d’aria. compresi i consumi di carburanti e lubrificanti. i ricambi. la manutenzione. assicurazioni e compresi gli operatori
SAR24_AT.0003.0004.0001,AT,ATTREZZATURE SPECIALI,Macchinari rimorchiabili,DRAGA STAZIONARIA. con tubazione premente in uscita del dn 250. già funzionante in cantiere. compresi i consumi di carburanti e lubrificanti. i ricambi. la manutenzione. le assicurazioni e gli operatori
SAR24_AT.0003.0004.0002,AT,ATTREZZATURE SPECIALI,Macchinari rimorchiabili,BETTA DA RIMORCHIARE della capacità di m³ 500. già funzionante in cantiere. compresa la manutenzione. le assicurazioni. ma esclusi gli operatori
SAR24_AT.0003.0005.0001,AT,ATTREZZATURE SPECIALI,Macchinari speciali,MOTOBETTA a fondo apribile della capacità di m³ 250. già funzionante in cantiere. compresi i consumi di carburanti e lubrificanti. i ricambi. la manutenzione. le assicurazioni e l’equipaggio
SAR24_AT.0003.0005.0002,AT,ATTREZZATURE SPECIALI,Macchinari speciali,AUTOGRU’ CINGOLATA. corredata di benna mordente o di benna a polipo. con sbraccio fino a m 40 e potenza di sollevamento fino a tonnellate 80. già funzionante in cantiere. compresi i consumi di carburanti e lubrificanti. i ricambi. la manutenzione. le assicurazioni e l’operatore
SAR24_AT.0003.0005.0003,AT,ATTREZZATURE SPECIALI,Macchinari speciali,Noleggio mensile (o frazione di mese) di palancole metalliche. Giunto Larssen sezione U e Z. lunghezza fino a 1200 metri del peso tra 90.00 e 160.00 kg/m2. classe di resistenza sino a S355GP
SAR24_AT.0003.0006.0001,AT,ATTREZZATURE SPECIALI,Strumentazioni scientifiche,Gradiometro a campo totale comprensivo di 1 GPS con correzione satellitare alta frequenza; software navigazione e acquisizione dati
SAR24_AT.0003.0006.0002,AT,ATTREZZATURE SPECIALI,Strumentazioni scientifiche,Magnetometro idoneo per rilevazioni in profondità di ordigni bellici in ambiente subacqueo e terrestre
SAR24_AT.0003.0006.0003,AT,ATTREZZATURE SPECIALI,Strumentazioni scientifiche,Magnetometro idoneo per rilevazioni superficiali di ordigni bellici
SAR24_AT.0003.0006.0004,AT,ATTREZZATURE SPECIALI,Strumentazioni scientifiche,GPS Portatili - Posizionamento DGPS - precisione +/- 10cm
SAR24_AT.0004.0001.0001,AT,NOLO MACCHINARI E ATTREZZATURE,Macchinario vario,MARTELLO DEMOLITORE IDRAULICO montato su macchina già esistente in cantiere. questa compresa. compreso l’operatore. i consumi di carburante. lubrificanti. ricambi. manutenzione e l’assicurazione peso Kg 500 montato su ESCAVATORE da 120-125 qli  (84 HP)
SAR24_AT.0004.0001.0002,AT,NOLO MACCHINARI E ATTREZZATURE,Macchinario vario,MARTELLO DEMOLITORE IDRAULICO montato su macchina già esistente in cantiere. questa compresa. compreso l'operatore. i consumi di carburante. lubrificanti. ricambi. manutenzione e l’assicurazione peso Kg 900 montato su ESCAVATORE da 150 qli (122 HP)
